Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
1.245,-0.49708656333586,-0.42140508332536,-0.296201843594379,-0.0895583807751185,-0.308374435594586,-0.498183399424594,0.238873669989428,0.220807244591974,0.346825800898896,0.208567424511221
1.26,-0.497151979495722,-0.42147005917562,-0.296266374567158,-0.0896224632039739,-0.308438066729527,-0.498199519287281,0.238857632173338,0.220791290091534,0.34680993079148,0.208551639675974
1.275,-0.497220009482139,-0.421537659347906,-0.296333537645786,-0.0896891827558711,-0.308504337196623,-0.498216131652169,0.238841098183759,0.220774836301421,0.346793558855465,0.20853535107001
1.29,-0.49729056266475,-0.421607801806369,-0.296403259590653,-0.0897584751508334,-0.308573191798114,-0.498233208691467,0.238824094166245,0.22075790761037,0.346776707654835,0.208518579372176
1.305,-0.497363499871328,-0.421680355332044,-0.296475417449459,-0.0898302259869967,-0.308644524933364,-0.498250713380021,0.23880665570083,0.220740538061583,0.346759409608074,0.208501355293128
1.32,-0.497438638454764,-0.421755144225822,-0.296549842866964,-0.0899042746299299,-0.308718184043062,-0.498268601095648,0.238788826252129,0.220722769861907,0.34674170556507,0.208483718228514
1.335,-0.497515759156433,-0.421831954905725,-0.296626328382352,-0.0899804201766321,-0.308793975207278,-0.498286821418149,0.238770655394002,0.22070465163817,0.346723643103587,0.208465714604335
1.35,-0.497594614140992,-0.421910543786459,-0.296704635120362,-0.0900584289238586,-0.30887167035587,-0.498305319978061,0.238752196960431,0.22068623659404,0.346705274699118,0.208447396067463
1.365,-0.497674935563987,-0.421990645798587,-0.296784501233646,-0.0901380427031092,-0.308951015463555,-0.498324040233671,0.238733507249655,0.220667580699486,0.346686655904613,0.208428817661306
1.38,-0.497756444104265,-0.422071982962702,-0.296865650497561,-0.0902189874722792,-0.309031739112111,-0.498342925092152,0.238714643372293,0.220648741010241,0.346667843643982,0.208410036096774
1.395,-0.497838857014207,-0.422154272548837,-0.296947800565216,-0.0903009816504402,-0.309113560886428,-0.498361918327548,0.238695661796699,0.220629774176897,0.346648894685812,0.208391108191996
1.41,-0.497921895376991,-0.42223723448692,-0.297030670524315,-0.0903837438123284,-0.309196199195831,-0.498380965778213,0.238676617113474,0.220610735170706,0.346629864330032,0.208372089519757
1.425,-0.49800529038511,-0.422320597822371,-0.297113987528022,-0.0904669994914283,-0.309279378244831,-0.498400016326176,0.238657561019447,0.22059167622973,0.346610805315126,0.208353033274801
